Item,Test code,Trade name,Generic name,Drug form,Dasage,Batch numbers,Exp.Date,Manufacturer,Country,Content/value deviation, API test result,Accepted range,Test result 0=Substadard 1=Meet standard 
94,ICARS:24.08.19.121,ERY 500,Erythromycin,Tables,500mg,020524,11.2026,CBF,Laos,0.6005 g        (-0.9 ; 1.0),95.6%,90.0 - 120.0%,1
95,ICARS:24.08.19.122,GANO SPEC 500,Tetracycline,Capsules,500mg,42317,10/2026,PICCO PHARMA,Thailand,0.5034 g        (-3.9 ; 4.9),94.1%,90.0 - 120.0%,1
96,ICARS:24.08.19.123,AMOXYCILLINE,Amoxicillin,Capsules,500mg,300204,12.2026,Coduphar,Laos,0.5596 g        (-2.3 ; 5.0),96.7%,90.0 - 110.0%,1
97,ICARS:24.08.19.124,AMPI - 500,Ampicillin,Capsules,500mg,709230601,04/26,Alliance,Laos,0.5184g        (-3.3 ; 4.2),92.6%,90.0 - 110.0%,1
98,ICARS:24.08.19.125,DOXYCYCLINE,DOXYCYCLINE,Capsules,100mg,312206,09.2026,Coduphar,Laos,0.2541 g        (-5.8 ; 5.2),103.0%,90.0 - 120.0%,1
99,ICARS:24.08.19.126,METROZOL 500,Metronidazole,Tables,500mg,081023,10.2026,CBF,Laos,5688 g        (-3.0 ; 2.5),95.9%,93.0 - 107.0%,1
100,ICARS:24.08.19.127,AZITHROMYCIN,Azithromycin,Tables,500mg,230038001,05/2026, No:3,Laos,0.7029 g        (-1.2 ; 1.8),98.4%,90.0 - 110.0%,1
101,ICARS:24.08.19.128,AZITHROMAX,Azithromycin,Tablets,250mg,050723,07/2026,CBF,Laos,0.3449 g        (-2.3 ; 1.9),99.1%,90.0 - 110.0%,1
102,ICARS:24.08.19.129,AZITHROMAX,Azithromycin,Tablets,250mg,060823,08.2026,CBF,Laos,0.3419g        (-3.0 ; 2.9),99.9%,90.0 - 110.0%,1
103,ICARS:24.08.19.130,STARMOX,Amoxicillin,Capsules,500mg,0818,02.05.2027,Seven Stars,Thailand,0.6084 g        (-2.2 ; 2.8),101.1%,90.0 - 110.0%,1
104,ICARS:24.08.19.131,TETRACYCLIN,Tetracycline,capsules,250mg,67111,21/3/2028,HK,Thailand,0.2639 g        (-2.6 ; 2.1),107.3%,90.0 - 120.0%,1
105,ICARS:24.08.19.132,KLORAMPHENICOL,Chloramphenicol,capsules,250mg,313315,09/11/2026,Coduphar,Laos,0.3990 g        (-3.9 ; 3.8),99.9%,90.0 - 110.0%,1
106,ICARS:24.08.19.133,AMPICILLIN,Ampicillin,Tables,250mg,300731,04/12/2026,Coduphar,Laos,0.3649 g        (-3.9 ; 4.2),94.2%,90.0 - 110.0%,1
107,ICARS:24.08.19.134,HEROL- 500,Tetracycline,Capsules,500mg,2202002,22/03/2022,KPN,Laos,0.5672 g        (-2.1 ; 1.9),94.1%,90.0 - 120.0%,1
108,ICARS:24.08.19.135,METROZOL 500,Metronidazole,Tablets,500mg,091123,112026,CBF,Laos,0.5698g        (-1.6 ; 3.1),102.5%,93.0 - 107.0%,1
109,ICARS:24.08.19.136,AMPICILLIN,Ampicillin,Capsules,500mg,2445005,05.2027,KPN,Laos,0.5651 g       (-3.3 ; 2.6),96.4%,90.0 - 110.0%,1
110,ICARS:24.08.19.137,ERY 250,Erythromycin,Tables,250mg,050723,01.2026,CBF,Laos,0.3749g        (-2.2 ; 2.7),96.0%,90.0 - 120.0%,1
111,ICARS:24.08.19.138,ERYTHRO 500,Erythromycin,Tables,500mg,312306,09.2025,Coduphar,Laos,0.9456 g        (-1.6 ; 1.1),106.1%,90.0 - 120.0%,1
112,ICARS:24.08.19.139,DOXYCYCLINE,Doxycycline,Capsules,100mg,312204,05.2026,Coduphar,Laos,2595 g        (-6.4; 5.9),94.0%,90.0 - 120.0%,1
113,ICARS:24.08.19.140,AMOXYCILLINE,Amoxicillin,Capsules,500mg,2446021,06.2027,KPN,Laos,0.5688 g        (-4.6 ; 4.1),97.1%,90.0 - 110.0%,1
114,ICARS:24.08.19.141,A.M.MOX,Amoxicillin,Capsules,500mg,240101,18/01/2027,Macrophar,Thailand,0.5862 g        (-4.0 ; 2.8),101.5%,90.0 - 110.0%,1
115,ICARS:24.08.19.142,CEFIXIME,Cefixime,Capsules,200mg,47030423,030425,VPC,Vietnam,0.3159g        (-2.8 ; 3.9),23.8%,90.0 - 110.0%,0
116,ICARS:24.08.19.143,GRANO X500,Tetracycline,Capsules,500mg,65216,24/3/2026,HK,Thailand,0.5046 g        (-1.4 ; 4.0),94.7%,90.0 - 120.0%,1
117,ICARS:24.08.19.144,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,313303,24/4/2026,Coduphar,Laos,3872 g        (-6.4 ; 6.0),99.0%,90.0 - 110.0%,1
118,ICARS:24.08.19.145,ERYTHROMYCIN,Erythromycin,Tables,500mg,5450623,06.2026,Khaphaco,Vietnam,0.9045 g        (-0.3 ; 1.3),99.5%,90.0 - 120.0%,1
119,ICARS:24.08.19.146,ERYTHROMYCIN,Erythromycin,Tables,250mg,190922,080925,Vidiphar,Laos,0.4755g        (-0.5 ; 1.3),92.5%,90.0 - 120.0%,1
120,ICARS:24.08.19.147,AMOXYCILLINE,Amoxicillin,Capsules,500mg,300182,11.2026,Coduphar,Laos,0.6013g        (-2.3 ; 4.3),96.9%,90.0 - 110.0%,1
121,ICARS:24.08.19.148,TETRACYCLIN,Tetracycline,Capsules,250mg,316102,10/3/26,Coduphar,Laos,03834 g        (-2.8 ; 2.4),96.9%,90.0 - 120.0%,1
122,ICARS:24.08.19.149,AMPICILINE,Ampicillin,Capsules,500mg,2345032,09.2026,KPN,Laos,0.5717 g        (-1.9 ; 1.9),96.0%,90.0 - 110.0%,1
123,ICARS:24.08.19.150,AMPICILINE,Ampicillin,Tables,500mg,2344004,7/2026,KPN,Laos,0.3553 g        (-3.3 ;2.0),96.6%,90.0 - 110.0%,1
124,ICARS:24.08.19.151,CLAMOXYL,Amoxicillin,Capsules,500mg,A59W,01/11/2025,GLaxo ,France,0.5739 g        (-1.8 ; 0.5),102.6%,90.0 - 110.0%,1
125,ICARS:24.08.19.152,AZITHROMAX,Azithromycin,Tables,250mg,071023,102026,CBF,Laos,0.3352g        (-2.7 ; 3.9),98.8%,90.0 - 110.0%,1
126,ICARS:24.08.19.153,METROZOL 500,Metronidazole,Tables,500mg,060723,07.2026,CBF,Laos,0.6748 g        (-3.1 ; 1.9),96.8%,93.0 - 107.0%,1
